Site,Parcel,Specie,Base_angle,Crown_angle,Circumference_(cm),Wood_density_(g_cm^-3)
Bosque de Teca,1,Tectona grandis,8.4,68,68.0,0.59
Bosque de Teca,1,Tectona grandis,6.9,60,65.0,0.59
Bosque de Teca,1,Tectona grandis,8.3,62.3,48.0,0.59
Bosque de Teca,1,Tectona grandis,6.9,63.7,62.0,0.59
Bosque de Teca,1,Tectona grandis,8.1,64.2,49.0,0.59
Bosque de Teca,1,Tectona grandis,11.1,62.9,70.0,0.59
Bosque de Teca,1,Azadirachta indica,5.9,28.4,16.0,0.69
Bosque de Teca,1,Magnoliopsida,0,0,4.3,0.0
Bosque de Teca,1,Magnoliopsida,0,0,4.7,0.0
Bosque de Teca,1,Magnoliopsida,0,0,3.7,0.0
Bosque de Teca,1,Magnoliopsida,0,0,2.0,0.0
Bosque de Teca,1,Magnoliopsida,0,0,3.0,0.0
Bosque de Teca,1,Magnoliopsida,0,0,5.0,0.0
Bosque de Teca,1,Triumfetta semitriloba,0,0,3.1,0.0
Bosque de Teca,1,Camonea umbellata,0,0,1.1,0.0
Bosque de Teca,1,Magnoliopsida,0,0,3.5,0.0
Bosque de Teca,1,Guazuma ulmifolia,0,0,5.7,0.0
Bosque de Teca,1,Triumfetta semitriloba,0,0,2.9,0.0
Bosque de Teca,1,Magnoliopsida,0,0,5.3,0.0
Bosque de Teca,1,Magnoliopsida,0,0,4.5,0.0
Bosque de Teca,1,Solanum erianthum,0,0,2.2,0.0
Bosque de Teca,1,Magnoliopsida,0,0,2.0,0.0
Bosque de Teca,1,Magnoliopsida,0,0,2.8,0.0
Bosque de Teca,1,Ruellia floribunda,0,0,1.0,0.0
Bosque de Teca,1,Magnoliopsida,0,0,2.5,0.0
Bosque de Teca,1,Magnoliopsida,0,0,2.0,0.0
Bosque de Teca,1,Magnoliopsida,0,0,0.5,0.0
Bosque de los sueños,1,Guazuma ulmifolia,0,0,0.0,0.0
Bosque de los sueños,1,Magnoliopsida,0,0,0.0,0.0
Bosque de los sueños,1,Dalbergia ecastaphyllum,0,0,0.0,0.0
Bosque de los sueños,1,Pisonia capitata,0,0,0.0,0.0
Bosque de los sueños,1,Oplismenus spp.,0,0,0.0,0.0
Bosque de los sueños,1,Magnoliopsida,0,0,0.0,0.0
Bosque de los sueños,1,Oplismenus spp.,0,0,0.0,0.0
Bosque de los sueños,1,Psychotria daphnoides,0,0,0.0,0.0
Bosque de los sueños,1,Lasianthaea macrocephala,0,0,0.0,0.0
Bosque de los sueños,1,Oplismenus spp.,0,0,0.0,0.0
Bosque de los sueños,1,Azadirachta indica,0,0,0.0,0.0
Bosque de los sueños,1,Magnoliopsida,0,0,0.0,0.0
Bosque de los sueños,1,Oplismenus spp.,0,0,0.0,0.0
Bosque de los sueños,1,Lasiacis divaricata,0,0,0.0,0.0
Bosque de los sueños,1,Oplismenus spp.,0,0,0.0,0.0
Bosque de los sueños,1,Magnoliopsida,0,0,0.0,0.0
Bosque de los sueños,1,Magnoliopsida,0,0,0.0,0.0
Bosque de los sueños,1,Brachylaena rotundata,0,0,0.0,0.0
Bosque de los sueños,1,Coursetia caribaea,0,0,0.0,0.0
Bosque de los sueños,1,Handroanthus chrysanthus,16.3,53.5,32.0,0.92
Bosque de los sueños,1,Handroanthus chrysanthus,12.3,50.6,97.0,0.92
Bosque de los sueños,1,Pseudalbizzia multiflora,12.7,51.2,38.0,0.68
Bosque de los sueños,1,Pseudalbizzia multiflora,13.2,53.4,63.0,0.68
Bosque de los sueños,1,Handroanthus chrysanthus,12.7,54.6,58.0,0.92
Bosque de los sueños,1,Pseudalbizzia multiflora,12.7,51.1,58.0,0.68
Bosque de los sueños,1,Astronium graveolens,9.1,35.9,22.0,0.85
Bosque de los sueños,1,Pseudalbizzia multiflora,10,32,57.0,0.68
Bosque de los sueños,1,Pseudalbizzia multiflora,12,35,39.0,0.68
Bosque de los sueños,1,Maclura tinctoria,11,45,62.0,0.87
Bosque de los sueños,1,Maclura tinctoria,9,50,62.5,0.87
Bosque de Teca,2,Tectona grandis,-,-,69.0,0.59
Bosque de Teca,2,Tectona grandis,11.8,62.6,27.5,0.59
Bosque de Teca,2,Tectona grandis,-,-,71.0,0.59
Bosque de Teca,2,Tectona grandis,12.7,61.2,16.2,0.59
Bosque de Teca,2,Tectona grandis,12.3,60.6,56.0,0.59
Bosque de Teca,2,Tectona grandis,12.7,68.8,95.0,0.59
Bosque de Teca,2,Tectona grandis,-,-,62.5,0.59
Bosque de Teca,2,Tectona grandis,-,-,90.0,0.59
Bosque de Teca,2,Tectona grandis,12.8,60.8,53.0,0.59
